rank,name,category,seller,model,yahoo_price,net_cost,is_clearance,mercari_median,mercari_count,yahooAuction_median,yahooAuction_count,conservative_median,avg_median,profit_yen,profit_margin_pct,profit_small_post,is_profitable,yahoo_url
46,SIROCA　ハンディファン ストーングレー　SF-H631HS,扇風機本体,コジマYahoo!店,SF-H631HS,2530,1362,False,,0,2530,2,2530,2530,315,12.45,615,True,https://store.shopping.yahoo.co.jp/y-kojima/4589919844296.html
1,サンコネクション 準固体バッテリー搭載 ハンディファン ChibiGEAR ホワイト SUNMHF-01 【864】,扇風機本体,ソフマップ Yahoo!店,SUNMHF-01,4378,3006,False,,0,4378,2,4378,4378,334,7.63,634,False,https://store.shopping.yahoo.co.jp/y-sofmap/4573616740234.html
47,NAKAGAMI　大風量ハンディファン 充電式 台座付 ベージュ　YNG-LHF200-BE,扇風機本体,コジマYahoo!店,YNG-LHF200-BE,2178,1048,False,,0,2284,6,2284,2284,408,17.85,708,True,https://store.shopping.yahoo.co.jp/y-kojima/4580441488804.html
48,ユアサ　折り畳み 5WAYハンディファン パワフル風量　YM-7020HS-H,扇風機本体,コジマYahoo!店,YM-7020HS-H,3980,2652,False,,0,3980,1,3980,3980,330,8.29,630,False,https://store.shopping.yahoo.co.jp/y-kojima/4979966573971.html
2,SIROCA ハンディファン  ストーングレー SF-H631HS,扇風機本体,ソフマップ Yahoo!店,SF-H631HS,2530,1362,False,,0,2530,2,2530,2530,315,12.45,615,True,https://store.shopping.yahoo.co.jp/y-sofmap/4589919844296.html
3,多摩電子工業 折り畳みハンディファン　オリオンビールコラボモデル ホワイト,扇風機本体,ソフマップ Yahoo!店,,2850,1646,False,3839,1,,0,3839,3839,1209,31.5,1509,True,https://store.shopping.yahoo.co.jp/y-sofmap/4518707317742.html
4,NAKAGAMI 充電式大風量ハンディファン  ベージュ YNG-LHF200-BE,扇風機本体,ソフマップ Yahoo!店,YNG-LHF200-BE,2178,1048,False,,0,2284,6,2284,2284,408,17.85,708,True,https://store.shopping.yahoo.co.jp/y-sofmap/4580441488804.html
5,多摩電子工業 折り畳みハンディファン オリオンビールコラボモデル グレー,扇風機本体,ソフマップ Yahoo!店,,2850,1646,False,3839,1,,0,3839,3839,1209,31.5,1509,True,https://store.shopping.yahoo.co.jp/y-sofmap/4518707317759.html
7,ファンマックスジャパン ハンディクリーナー CellCube CCVC01-BG コードレス,ハンディークリーナー,ソフマップ Yahoo!店,CCVC01-BG,10610,8553,False,,0,8780,5,8780,8780,-1251,-14.25,-951,False,https://store.shopping.yahoo.co.jp/y-sofmap/4582586410597.html
49,SIROCA　ハンディファン サーモンピンク　SF-H631PL,扇風機本体,コジマYahoo!店,SF-H631PL,2530,1362,False,,0,2508,3,2508,2508,295,11.77,595,True,https://store.shopping.yahoo.co.jp/y-kojima/4589919844272.html
